DATE,TOC_mg_L,Alk_mg_L
10/31/2025,2.2,55
11/1/2025,2.2,54.5
11/2/2025,2.2,55
11/3/2025,2.3,56
11/4/2025,2.2,62
11/5/2025,2.2,59.4
11/6/2025,2.2,51
11/7/2025,2.2,57.5
11/8/2025,2.2,61
11/9/2025,2.2,59.5
11/10/2025,2,60.5
11/11/2025,2,59
11/12/2025,2,58
11/13/2025,2.1,60.5
11/14/2025,2.2,58.5
11/15/2025,2.1,59.5
11/16/2025,2.1,58
11/17/2025,2.1,60.5
11/18/2025,2.1,58.5
11/19/2025,2.1,64
11/20/2025,2.1,64.9
11/21/2025,2.1,64.5
11/22/2025,2.1,65.5
11/23/2025,2.1,65
11/24/2025,2.1,65
11/25/2025,2.1,64
11/26/2025,2.1,65
11/27/2025,2.1,63.5
11/28/2025,2.1,63
11/29/2025,2.1,65
11/30/2025,2.2,66
12/1/2025,2.2,69
12/2/2025,2.3,70
12/3/2025,2.2,73.5
12/4/2025,2.2,73
12/5/2025,2.2,71.7
12/6/2025,2.4,67.5
12/7/2025,2.1,68.5
12/8/2025,2.2,70
12/9/2025,2.2,68.1
12/10/2025,2.2,67.5
12/11/2025,2.2,69.5
12/12/2025,2.2,68
12/13/2025,2.2,67
12/14/2025,2.1,71
12/15/2025,2.2,68.5
12/16/2025,2.2,69
12/17/2025,2.2,70.5
12/18/2025,2.1,68
4/1/2026,2.3,60.5
4/2/2026,2.3,60.6
4/3/2026,2.2,61
4/4/2026,2.2,61
4/5/2026,2.2,62
4/6/2026,2.2,61
4/7/2026,2.2,63.5
4/8/2026,2.3,62
4/9/2026,2.2,63
4/10/2026,2.3,63.6
4/11/2026,2.3,67.1
4/12/2026,2.2,66.4
4/13/2026,1.2,67
